,Method,Parameter,Signal_id,Repetition,0,10
0,block_thresholding,"((25,), {})",LinearChirp,0,5.576025437772274,8.500915329236262
1,block_thresholding,"((25,), {})",LinearChirp,1,6.287071958129941,7.759741580245723
2,block_thresholding,"((25,), {})",LinearChirp,2,4.811224800856663,7.487995594571388
3,block_thresholding,"((25,), {})",LinearChirp,3,5.253348576912067,8.665054053051389
4,block_thresholding,"((25,), {})",LinearChirp,4,5.514286082776363,6.9424046653039
30,contour_filtering,"((), {})",LinearChirp,0,1.6817692054296038,11.64324794434316
31,contour_filtering,"((), {})",LinearChirp,1,1.832813344816707,11.482474716599604
32,contour_filtering,"((), {})",LinearChirp,2,1.747102753454971,11.899991716048204
33,contour_filtering,"((), {})",LinearChirp,3,2.243980740412657,11.935695573056986
34,contour_filtering,"((), {})",LinearChirp,4,2.343052895406664,11.707184134331406
35,delaunay_triangulation,"((), {})",LinearChirp,0,1.9701819753331105,16.098054056087797
36,delaunay_triangulation,"((), {})",LinearChirp,1,4.71698284871019,15.480033355669107
37,delaunay_triangulation,"((), {})",LinearChirp,2,2.3203059470568794,16.32878436934377
38,delaunay_triangulation,"((), {})",LinearChirp,3,3.0280423011531035,16.689787021016212
39,delaunay_triangulation,"((), {})",LinearChirp,4,2.181648135143717,16.427330854365586
40,empty_space,"((), {})",LinearChirp,0,4.066197946817139,15.926848219055639
41,empty_space,"((), {})",LinearChirp,1,5.391475022813962,15.374767173603132
42,empty_space,"((), {})",LinearChirp,2,1.4872601938496242,17.05761863950232
43,empty_space,"((), {})",LinearChirp,3,2.907026707503275,16.66748927757429
44,empty_space,"((), {})",LinearChirp,4,3.3051804263406654,16.01138741962121
45,hard_thresholding,"((), {})",LinearChirp,0,8.849743051271156,18.404120307978204
46,hard_thresholding,"((), {})",LinearChirp,1,10.38466197295383,17.48586779596165
47,hard_thresholding,"((), {})",LinearChirp,2,8.565193102905555,18.675642097634583
48,hard_thresholding,"((), {})",LinearChirp,3,9.53023781786272,18.659940022527778
49,hard_thresholding,"((), {})",LinearChirp,4,8.689706844268365,17.66351402497646
