,SNRin,Method,Parameter,Signal_id,Repetition,QRF
0,0,block_thresholding,"((25,), {})",LinearChirp,0,5.576025437772274
1,0,block_thresholding,"((25,), {})",LinearChirp,1,6.287071958129941
2,0,block_thresholding,"((25,), {})",LinearChirp,2,4.811224800856663
3,0,block_thresholding,"((25,), {})",LinearChirp,3,5.253348576912067
4,0,block_thresholding,"((25,), {})",LinearChirp,4,5.514286082776363
5,0,contour_filtering,"((), {})",LinearChirp,0,1.6817692054296038
6,0,contour_filtering,"((), {})",LinearChirp,1,1.832813344816707
7,0,contour_filtering,"((), {})",LinearChirp,2,1.747102753454971
8,0,contour_filtering,"((), {})",LinearChirp,3,2.243980740412657
9,0,contour_filtering,"((), {})",LinearChirp,4,2.343052895406664
10,0,delaunay_triangulation,"((), {})",LinearChirp,0,1.9701819753331105
11,0,delaunay_triangulation,"((), {})",LinearChirp,1,4.71698284871019
12,0,delaunay_triangulation,"((), {})",LinearChirp,2,2.3203059470568794
13,0,delaunay_triangulation,"((), {})",LinearChirp,3,3.0280423011531035
14,0,delaunay_triangulation,"((), {})",LinearChirp,4,2.181648135143717
15,0,empty_space,"((), {})",LinearChirp,0,4.066197946817139
16,0,empty_space,"((), {})",LinearChirp,1,5.391475022813962
17,0,empty_space,"((), {})",LinearChirp,2,1.4872601938496242
18,0,empty_space,"((), {})",LinearChirp,3,2.907026707503275
19,0,empty_space,"((), {})",LinearChirp,4,3.3051804263406654
20,0,hard_thresholding,"((), {})",LinearChirp,0,8.849743051271156
21,0,hard_thresholding,"((), {})",LinearChirp,1,10.38466197295383
22,0,hard_thresholding,"((), {})",LinearChirp,2,8.565193102905555
23,0,hard_thresholding,"((), {})",LinearChirp,3,9.53023781786272
24,0,hard_thresholding,"((), {})",LinearChirp,4,8.689706844268365
25,10,block_thresholding,"((25,), {})",LinearChirp,0,8.500915329236262
26,10,block_thresholding,"((25,), {})",LinearChirp,1,7.759741580245723
27,10,block_thresholding,"((25,), {})",LinearChirp,2,7.487995594571388
28,10,block_thresholding,"((25,), {})",LinearChirp,3,8.665054053051389
29,10,block_thresholding,"((25,), {})",LinearChirp,4,6.9424046653039
30,10,contour_filtering,"((), {})",LinearChirp,0,11.64324794434316
31,10,contour_filtering,"((), {})",LinearChirp,1,11.482474716599604
32,10,contour_filtering,"((), {})",LinearChirp,2,11.899991716048204
33,10,contour_filtering,"((), {})",LinearChirp,3,11.935695573056986
34,10,contour_filtering,"((), {})",LinearChirp,4,11.707184134331406
35,10,delaunay_triangulation,"((), {})",LinearChirp,0,16.098054056087797
36,10,delaunay_triangulation,"((), {})",LinearChirp,1,15.480033355669107
37,10,delaunay_triangulation,"((), {})",LinearChirp,2,16.32878436934377
38,10,delaunay_triangulation,"((), {})",LinearChirp,3,16.689787021016212
39,10,delaunay_triangulation,"((), {})",LinearChirp,4,16.427330854365586
40,10,empty_space,"((), {})",LinearChirp,0,15.926848219055639
41,10,empty_space,"((), {})",LinearChirp,1,15.374767173603132
42,10,empty_space,"((), {})",LinearChirp,2,17.05761863950232
43,10,empty_space,"((), {})",LinearChirp,3,16.66748927757429
44,10,empty_space,"((), {})",LinearChirp,4,16.01138741962121
45,10,hard_thresholding,"((), {})",LinearChirp,0,18.404120307978204
46,10,hard_thresholding,"((), {})",LinearChirp,1,17.48586779596165
47,10,hard_thresholding,"((), {})",LinearChirp,2,18.675642097634583
48,10,hard_thresholding,"((), {})",LinearChirp,3,18.659940022527778
49,10,hard_thresholding,"((), {})",LinearChirp,4,17.66351402497646
